function,metric
bsw_setup,1157
bsw_enc,29880
bsw_keygen,29343
bsw_dec_seq,20821
bsw_setup,1157
bsw_enc,29428
bsw_keygen,29289
bsw_dec_seq,21367
bsw_setup,1157
bsw_enc,29384
bsw_keygen,29336
bsw_dec_seq,35588
bsw_setup,1157
bsw_enc,29419
bsw_keygen,29314
bsw_dec_seq,56403
bsw_setup,1157
bsw_enc,29296
bsw_keygen,29299
bsw_dec_seq,61598
bsw_setup,1157
bsw_enc,29449
bsw_keygen,29290
bsw_dec_seq,75621
bsw_setup,1157
bsw_enc,29814
bsw_keygen,29246
bsw_dec_seq,123394
bsw_setup,1157
bsw_enc,29620
bsw_keygen,29293
bsw_dec_seq,51078
bsw_setup,1157
bsw_enc,29547
bsw_keygen,29336
bsw_dec_seq,76049
bsw_setup,1158
bsw_enc,29839
bsw_keygen,29295
bsw_dec_seq,45931
bsw_setup,1157
bsw_enc,29339
bsw_keygen,29324
bsw_dec_seq,24626
bsw_setup,1157
bsw_enc,29591
bsw_keygen,29341
bsw_dec_seq,32881
bsw_setup,1158
bsw_enc,29564
bsw_keygen,29309
bsw_dec_seq,38236
bsw_setup,1157
bsw_enc,29481
bsw_keygen,29313
bsw_dec_seq,36608
bsw_setup,1157
bsw_enc,29590
bsw_keygen,29214
bsw_dec_seq,123830
bsw_setup,1157
bsw_enc,29681
bsw_keygen,29221
bsw_dec_seq,140943
bsw_setup,1158
bsw_enc,29556
bsw_keygen,29309
bsw_dec_seq,34525
bsw_setup,1157
bsw_enc,29547
bsw_keygen,29294
bsw_dec_seq,46939
bsw_setup,1158
bsw_enc,29921
bsw_keygen,29253
bsw_dec_seq,146169
bsw_setup,1158
bsw_enc,29657
bsw_keygen,29245
bsw_dec_seq,60912
bsw_setup,1157
bsw_enc,29537
bsw_keygen,29218
bsw_dec_seq,78941
bsw_setup,1157
bsw_enc,29463
bsw_keygen,29358
bsw_dec_seq,28444
bsw_setup,1157
bsw_enc,29412
bsw_keygen,29340
bsw_dec_seq,42825
bsw_setup,1158
bsw_enc,29408
bsw_keygen,29292
bsw_dec_seq,41724
bsw_setup,1158
bsw_enc,29393
bsw_keygen,29286
bsw_dec_seq,40235
bsw_setup,1157
bsw_enc,29271
bsw_keygen,29290
bsw_dec_seq,80362
bsw_setup,1157
bsw_enc,29392
bsw_keygen,29240
bsw_dec_seq,20794
bsw_setup,1157
bsw_enc,29464
bsw_keygen,29336
bsw_dec_seq,78309
bsw_setup,1157
bsw_enc,29401
bsw_keygen,29339
bsw_dec_seq,24638
bsw_setup,1157
bsw_enc,30078
bsw_keygen,29291
bsw_dec_seq,148567
bsw_dec_sim,0
